,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.223,0.031,3.162,3.281,0.003,0.001,99.0,518.0,1.1
Gg2,0.456,0.008,0.441,0.472,0.001,0.0,112.0,526.0,1.07
Gg3,2.806,0.037,2.729,2.875,0.004,0.001,89.0,229.0,1.12
Gg4,1.822,0.023,1.778,1.869,0.003,0.001,57.0,275.0,1.12
normalization,1.05,0.009,1.031,1.067,0.001,0.0,101.0,346.0,1.09
