,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.45,0.211,3.038,3.868,0.012,0.005,290.0,815.0,1.03
Gg2,0.568,0.087,0.402,0.745,0.005,0.002,294.0,817.0,1.03
Gg3,3.059,0.385,2.3,3.8,0.021,0.009,338.0,945.0,1.02
Gg4,2.089,0.258,1.558,2.576,0.017,0.007,238.0,545.0,1.05
normalization,0.993,0.018,0.957,1.026,0.001,0.0,271.0,844.0,1.03
