,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.525,0.222,3.117,3.908,0.007,0.008,924.0,2383.0,1.01
Gg2,0.564,0.09,0.391,0.744,0.003,0.001,885.0,2606.0,1.01
Gg3,3.1,0.378,2.363,3.838,0.012,0.007,951.0,2220.0,1.01
Gg4,2.107,0.284,1.562,2.645,0.01,0.008,838.0,1749.0,1.02
