,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,4.492,0.042,4.407,4.569,0.003,0.001,177.0,277.0,1.06
Gg2,0.604,0.009,0.587,0.623,0.001,0.0,129.0,552.0,1.06
Gg3,3.91,0.052,3.81,4.011,0.004,0.002,184.0,557.0,1.04
Gg4,2.488,0.031,2.426,2.544,0.003,0.001,123.0,460.0,1.06
normalization,0.771,0.006,0.758,0.784,0.0,0.0,185.0,546.0,1.04
