,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.537,0.366,2.903,4.439,0.039,0.036,109.0,158.0,1.07
Gg2,0.587,0.104,0.387,0.8,0.008,0.005,163.0,220.0,1.04
Gg3,2.951,0.419,2.113,3.749,0.025,0.017,273.0,368.0,1.03
Gg4,2.213,0.409,1.489,3.148,0.044,0.032,105.0,174.0,1.05
normalization,0.994,0.02,0.952,1.032,0.001,0.001,310.0,734.0,1.04
