,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.431,0.221,3.029,3.846,0.009,0.009,565.0,1302.0,1.01
Gg2,0.572,0.098,0.39,0.776,0.005,0.003,384.0,526.0,1.02
Gg3,3.069,0.406,2.237,3.813,0.018,0.013,536.0,881.0,1.02
Gg4,2.139,0.347,1.456,2.8,0.024,0.027,272.0,202.0,1.03
normalization,0.994,0.015,0.965,1.024,0.001,0.0,480.0,869.0,1.02
