,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.225,0.036,3.156,3.297,0.004,0.001,83.0,412.0,1.09
Gg2,0.456,0.008,0.442,0.473,0.001,0.0,136.0,274.0,1.08
Gg3,2.811,0.039,2.733,2.886,0.004,0.002,105.0,269.0,1.07
Gg4,1.826,0.026,1.778,1.879,0.003,0.001,59.0,442.0,1.12
normalization,1.049,0.011,1.029,1.07,0.001,0.0,69.0,251.0,1.1
