,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.543,0.227,3.112,3.951,0.011,0.009,438.0,1137.0,1.01
Gg2,0.579,0.109,0.373,0.787,0.005,0.006,463.0,456.0,1.02
Gg3,3.142,0.39,2.374,3.895,0.017,0.009,523.0,1271.0,1.03
Gg4,2.159,0.271,1.6,2.641,0.012,0.005,490.0,1543.0,1.01
normalization,0.991,0.014,0.964,1.019,0.001,0.0,542.0,1381.0,1.03
