,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.429,0.201,3.054,3.84,0.013,0.005,242.0,793.0,1.03
Gg2,0.572,0.092,0.391,0.744,0.006,0.002,209.0,871.0,1.03
Gg3,3.027,0.364,2.303,3.727,0.019,0.009,373.0,844.0,1.02
Gg4,2.087,0.264,1.559,2.581,0.014,0.006,337.0,913.0,1.03
normalization,0.993,0.018,0.958,1.029,0.001,0.001,324.0,928.0,1.03
