,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.423,0.23,2.992,3.823,0.009,0.01,746.0,1236.0,1.01
Gg2,0.566,0.093,0.384,0.75,0.003,0.002,828.0,1501.0,1.01
Gg3,3.046,0.417,2.192,3.816,0.016,0.013,737.0,843.0,1.01
Gg4,2.067,0.28,1.514,2.588,0.009,0.006,867.0,2511.0,1.01
