,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.519,0.201,3.136,3.915,0.011,0.005,339.0,955.0,1.03
Gg2,0.579,0.091,0.404,0.753,0.005,0.002,292.0,882.0,1.03
Gg3,3.1,0.36,2.378,3.802,0.019,0.009,341.0,840.0,1.03
Gg4,2.151,0.253,1.664,2.653,0.014,0.006,316.0,963.0,1.04
normalization,0.993,0.015,0.965,1.022,0.001,0.0,313.0,786.0,1.03
