,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.252,0.034,3.187,3.317,0.003,0.001,179.0,532.0,1.03
Gg2,0.462,0.008,0.447,0.476,0.001,0.0,185.0,419.0,1.04
Gg3,2.833,0.039,2.761,2.907,0.003,0.001,180.0,417.0,1.04
Gg4,1.84,0.026,1.788,1.888,0.002,0.001,124.0,290.0,1.09
normalization,1.041,0.01,1.021,1.059,0.001,0.0,172.0,462.0,1.04
