,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.472,0.35,2.907,3.897,0.022,0.041,377.0,222.0,1.03
Gg2,0.579,0.102,0.395,0.795,0.006,0.004,354.0,272.0,1.02
Gg3,3.041,0.424,2.127,3.835,0.026,0.018,278.0,328.0,1.03
Gg4,2.135,0.355,1.431,2.74,0.023,0.026,360.0,225.0,1.02
normalization,1.0,0.0,1.0,1.0,0.0,0.0,609.0,1237.0,1.01
