,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.411,0.223,2.998,3.804,0.007,0.008,922.0,2312.0,1.01
Gg2,0.561,0.091,0.382,0.739,0.003,0.002,1053.0,2542.0,1.01
Gg3,3.015,0.418,2.226,3.823,0.016,0.013,749.0,1088.0,1.01
Gg4,2.09,0.278,1.544,2.605,0.01,0.009,748.0,1355.0,1.01
