,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.219,0.035,3.155,3.292,0.004,0.001,84.0,364.0,1.08
Gg2,0.457,0.008,0.441,0.472,0.001,0.0,149.0,613.0,1.06
Gg3,2.808,0.037,2.739,2.883,0.003,0.001,169.0,445.0,1.04
Gg4,1.82,0.026,1.774,1.875,0.003,0.001,83.0,399.0,1.09
normalization,1.051,0.01,1.031,1.071,0.001,0.0,99.0,558.0,1.07
