,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.546,0.204,3.16,3.955,0.014,0.005,221.0,864.0,1.04
Gg2,0.57,0.088,0.39,0.733,0.005,0.002,307.0,820.0,1.03
Gg3,3.096,0.381,2.387,3.855,0.031,0.01,154.0,756.0,1.06
Gg4,2.134,0.257,1.632,2.644,0.016,0.007,267.0,801.0,1.04
normalization,0.993,0.014,0.966,1.02,0.001,0.0,304.0,695.0,1.03
