,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,5.03804,0.978,3.201,6.991,0.037,0.016,691.0,2206.0,1.02
Gg2,0.7871651,0.161,0.465,1.091,0.007,0.002,560.0,1919.0,1.02
Gg3,4.143858,0.853,2.457,5.771,0.033,0.014,679.0,1838.0,1.01
Gg4,3.35259,0.647,2.032,4.588,0.028,0.012,514.0,1537.0,1.02
normalization,1.0,0.02,0.961,1.037,0.001,0.0,579.0,1679.0,1.02
