,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Gg1,3.55,0.205,3.156,3.948,0.012,0.005,302.0,905.0,1.02
Gg2,0.582,0.088,0.409,0.75,0.005,0.002,345.0,865.0,1.02
Gg3,3.06,0.381,2.298,3.823,0.022,0.009,299.0,822.0,1.03
Gg4,2.153,0.264,1.649,2.689,0.016,0.007,261.0,842.0,1.04
normalization,0.989,0.018,0.955,1.024,0.001,0.0,236.0,1046.0,1.05
